PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,0,Control_Packet,OSPF_HELLO,SINKNODE-1,Broadcast-0,SINKNODE-1,ROUTER-2,0.000,0.000,0.000,0.000,0.000,5.120,10.120,0.000,44.000,44.000,64.000,64.000,0.000,Successful,11.2.1.1,224.0.0.5,11.2.1.1,224.0.0.5,
0,0,Control_Packet,OSPF_HELLO,ROUTER-2,Broadcast-0,ROUTER-2,SINKNODE-1,0.000,0.000,0.000,0.000,0.000,5.120,10.120,0.000,44.000,44.000,64.000,64.000,0.000,Successful,11.2.1.2,224.0.0.5,11.2.1.2,224.0.0.5,
0,N/A,Control_Packet,DIO,SINKNODE-1,Broadcast-0,SINKNODE-1,SENSOR-4,N/A,N/A,6241.000,6241.000,6881.000,6881.000,8769.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SINKNODE-1,Broadcast-0,SINKNODE-1,SENSOR-5,N/A,N/A,6241.000,6241.000,6881.000,6881.000,8769.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SINKNODE-1,Broadcast-0,SINKNODE-1,SENSOR-7,N/A,N/A,6241.000,6241.000,6881.000,6881.000,8769.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DAO,SENSOR-4,SINKNODE-1,SENSOR-4,SINKNODE-1,N/A,N/A,8769.000,8769.000,10369.000,10369.000,12129.000,N/A,N/A,0.000,44.000,49.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DAO,SENSOR-7,SINKNODE-1,SENSOR-7,SINKNODE-1,N/A,N/A,8769.000,8769.000,13377.000,13377.000,15137.000,N/A,N/A,0.000,44.000,49.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,FDEC:3017:E256:9BB8:1FE7:4563:9051:53CE,FDEC:3017:E256:9BB8:1FE7:AE0D:AB9B:B5B5,
0,N/A,Control_Packet,DIO,SENSOR-4,Broadcast-0,SENSOR-4,SINKNODE-1,N/A,N/A,14586.000,14586.000,16186.000,16186.000,18074.000,N/A,N/A,0.000,48.000,53.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SENSOR-4,Broadcast-0,SENSOR-4,SENSOR-6,N/A,N/A,14586.000,14586.000,16186.000,16186.000,18074.000,N/A,N/A,0.000,48.000,53.000,6.000,Successful,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,
0,N/A,Control_Packet,DIO,SENSOR-4,Broadcast-0,SENSOR-4,SENSOR-7,N/A,N/A,14586.000,14586.000,16186.000,16186.000,18074.000,N/A,N/A,0.000,48.000,53.000,6.000,Collided,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,FDEC:3017:E256:9BB8:1FE7:2745:6BDD:B053,FF00:0:0:0:0:0:0:0,
